Platform,Post Type,Post Content,Post Timestamp,Likes,Comments,Shares,Impressions,Reach,Engagement Rate,Audience Age,Audience Interests
Instagram,Carousel,Want that according same wish.,19:49.3,415,77,85,2619,1842,31.32,29,respond
Instagram,Image,Increase fast partner south.,40:06.4,908,125,85,1223,3884,28.78,48,population
Instagram,Carousel,Lawyer behavior born window couple sister.,56:53.2,412,419,58,2165,849,104.71,55,himself
Instagram,Carousel,Street great decade must.,39:00.2,667,153,29,7191,3519,24.13,54,safe
Facebook,Link,At clear meeting with reason ground continue contain.,51:21.4,659,215,34,3312,2032,44.69,33,well
Instagram,Carousel,Vote American state change simply cup.,32:30.1,510,438,110,3871,2667,39.67,59,she
Instagram,Reels,Community seek Republican cold though ability understand event.,32:05.1,874,239,91,5681,1553,77.53,41,family
LinkedIn,Link,Win guess me report true.,32:01.6,627,135,90,9436,1498,56.88,63,keep
Instagram,Carousel,Action other would side.,22:21.1,1000,378,94,8539,3695,39.84,23,number
Instagram,Carousel,Usually personal small create.,55:37.1,573,135,8,6769,2508,28.55,46,main
Facebook,Link,Floor glass bring indicate seem detail.,15:59.8,604,29,2,1386,1831,34.68,33,attorney
Instagram,Carousel,Customer stop language everybody rest chance me.,19:50.4,288,230,56,2516,3927,14.62,23,affect
Instagram,Image,Town find identify game your.,41:21.9,870,92,15,1377,4829,20.23,48,money
Instagram,Video,Reduce theory upon else someone significant which century.,27:10.5,322,195,146,7970,3477,19.07,47,however
Instagram,Carousel,Head story away lot government last skin him.,46:36.2,387,30,55,4249,2901,16.27,63,message
Twitter,Image,Machine language mention between view meeting eye.,47:41.2,416,271,44,3250,2101,34.79,24,rest
Facebook,Link,Ground board after read.,06:20.1,632,267,58,4463,3020,31.69,33,page
Facebook,Link,Friend education author care evidence.,18:46.6,759,95,21,3135,2284,38.31,57,natural
Instagram,Link,Half see campaign many door increase animal.,18:39.3,210,49,86,9224,3443,10.02,65,north
Instagram,Carousel,Market challenge something side issue animal that stuff.,23:04.3,843,302,140,5753,678,189.53,56,speech
Facebook,Link,Game painting interesting travel experience dinner mission.,52:13.0,872,169,21,6165,1726,61.53,35,focus
Instagram,Carousel,Themselves evidence rate husband fact.,33:24.5,807,325,194,3399,668,198.5,49,evidence
Twitter,Video,Market skill physical.,40:47.7,252,70,117,9801,2192,20.03,32,others
Instagram,Reels,Subject structure role who themselves.,22:21.5,915,489,89,8910,3579,41.72,57,green
Instagram,Carousel,Sense despite hair way air if rise.,26:21.9,266,207,37,9118,707,72.14,23,popular
Instagram,Carousel,Authority almost leader case worker few interesting agree.,29:07.8,838,308,102,3459,2125,58.73,44,travel
Instagram,Reels,Occur unit oil.,27:00.3,655,296,128,2934,1144,94.32,53,chair
LinkedIn,Link,Seem strategy you cup.,53:33.1,573,192,19,1949,2797,28.03,40,part
Instagram,Reels,Approach car movie husband main his.,38:10.8,816,206,52,6827,501,214.37,47,expect
Instagram,Link,Would describe according if.,11:57.3,976,393,170,3286,925,166.38,27,attention
Twitter,Link,Inside name charge management adult.,38:38.8,430,223,86,2813,3265,22.63,33,several
Instagram,Link,Cause right process while by suddenly.,03:38.1,497,67,26,9628,4876,12.1,35,American
Twitter,Image,Artist four if treatment science.,01:30.2,403,233,121,3182,3004,25.2,20,color
Instagram,Image,Fight half reveal safe order work.,27:07.6,455,365,57,9250,2309,37.98,35,forward
Instagram,Reels,Road particular upon maintain bed at society law.,12:23.3,679,407,180,7980,1509,83.9,57,with
Facebook,Image,Adult character admit.,02:02.9,430,301,146,3606,1056,83.05,53,door
LinkedIn,Image,Herself list prove whom glass training.,42:07.6,979,464,53,9541,3937,38,37,fact
Instagram,Reels,She significant agreement.,57:50.9,272,214,200,7410,3635,18.87,64,on
Twitter,Video,Late event guess price.,53:48.6,973,309,164,3404,3917,36.92,34,husband
Facebook,Link,Look other fill alone trip.,32:25.2,823,171,162,8895,4580,25.24,21,hope
Instagram,Carousel,Attack agency benefit good.,48:54.2,137,327,141,1010,4631,13.06,18,coach
Facebook,Link,Company street those return.,30:04.3,658,36,128,3258,3626,22.67,47,standard
Facebook,Video,Mind still page food memory.,57:10.7,352,476,104,1436,4242,21.97,47,born
Instagram,Link,Federal candidate Republican window north.,17:31.5,185,403,89,3945,1378,49.13,48,range
Instagram,Carousel,Individual because energy eight collection nor.,31:53.7,917,136,126,9599,798,147.74,40,next
Instagram,Reels,Myself matter these parent matter enough nothing.,59:56.7,455,325,4,5589,3335,23.51,64,rate
Instagram,Carousel,Guy scientist bad long discuss science.,51:28.7,177,301,88,9898,1080,52.41,25,tell
Facebook,Image,Put foreign describe store.,53:19.3,431,395,7,2280,1213,68.67,62,sister
LinkedIn,Video,Fact miss time number wide red break.,08:53.6,897,337,125,7284,2401,56.6,20,stage
Instagram,Carousel,Share much because speak see.,34:53.2,378,23,162,3402,2405,23.41,52,require
LinkedIn,Link,Level thank guy my.,42:41.4,848,249,39,2391,2033,55.88,26,human
Instagram,Carousel,Call us long evening floor.,00:22.6,574,41,31,8529,1150,56.17,39,before
Facebook,Image,Question learn run nearly believe political series.,01:03.1,549,374,98,2118,2409,42.38,44,chair
Facebook,Link,Conference put put service.,56:42.8,206,442,181,3305,4835,17.15,31,citizen
Instagram,Link,Parent official public dark study.,46:10.3,605,386,107,8412,1169,93.93,59,office
Twitter,Image,Interest never pull trouble throughout.,08:35.9,518,247,58,6117,4464,18.44,53,machine
Facebook,Link,Note star account page interview direction main war.,36:57.8,376,25,172,9855,4202,13.64,34,realize
LinkedIn,Link,Truth air rest store.,36:17.9,689,144,162,1734,1056,94.22,47,ground
Facebook,Link,Protect save attention short quality.,12:07.9,877,128,78,1384,660,164.09,25,quality
LinkedIn,Image,Take cell cell certain decision.,54:39.9,742,198,20,2412,2517,38.14,30,actually
Instagram,Carousel,Speak hold evidence job add.,21:27.3,197,130,40,9351,1971,18.62,49,glass
Instagram,Link,Behind organization forget argue.,05:54.6,657,260,200,2257,705,158.44,51,something
Instagram,Image,Strategy threat structure reality law hospital else.,42:19.5,952,151,33,9780,1125,100.98,59,television
Facebook,Link,List prove state threat off energy.,24:54.1,732,243,192,4752,3141,37.15,62,reality
Instagram,Carousel,Affect cell low shoulder Mr might cup see.,21:14.2,82,397,8,6621,3944,12.35,23,crime
LinkedIn,Image,When simple his might clear check try.,02:46.0,120,178,147,7578,1897,23.46,25,his
Instagram,Link,Trade reason buy husband.,41:04.2,876,205,104,6396,1268,93.45,41,quality
Instagram,Carousel,Front agency would store movie author.,59:17.3,891,271,0,7506,2664,43.62,41,myself
Instagram,Carousel,Sea consumer worry current.,27:22.6,203,178,29,6437,2404,17.05,34,site
Facebook,Video,Current over off certainly edge.,39:01.5,100,235,161,7702,2674,18.55,23,continue
Twitter,Link,Bag join space fight environment do idea boy.,48:25.6,877,139,95,9843,2795,39.75,23,less
LinkedIn,Video,Left leg girl low own state many.,43:42.2,731,350,194,4630,3487,36.56,33,while
Instagram,Carousel,Collection year draw bar front.,39:12.5,810,374,17,3240,1161,103.45,30,paper
Instagram,Link,Young can brother.,12:15.3,820,307,137,3001,2356,53.65,22,difference
Facebook,Image,Doctor increase easy second left significant.,26:09.3,303,200,128,4025,656,96.19,21,final
LinkedIn,Image,Sense machine ago past.,50:07.4,513,221,120,6560,4301,19.86,32,consumer
Instagram,Reels,Organization family after week hot.,04:25.6,344,97,161,7569,1615,37.28,45,soon
Instagram,Image,Together rather how table like.,27:32.2,740,227,153,4186,890,125.84,33,push
Instagram,Reels,He group energy subject very safe.,00:36.6,877,4,140,5645,3159,32.32,50,enter
Instagram,Link,Pay until improve simply.,13:44.1,385,272,36,6883,807,85.87,56,career
Instagram,Reels,Sense run pattern yet customer.,12:09.0,464,428,170,8388,4703,22.58,50,wear
Instagram,Reels,Have body religious.,29:52.1,652,329,51,9821,2912,35.44,55,plan
Instagram,Carousel,Bar clearly camera share network authority road.,12:03.1,243,138,172,3475,1251,44.2,56,sort
Instagram,Reels,Summer eight PM dog make.,31:13.0,14,466,114,9067,3404,17.45,59,answer
Instagram,Link,About although draw list another miss.,30:33.1,294,424,45,5500,2040,37.4,31,cost
Instagram,Reels,Drive serve perform she phone international prevent two.,20:30.2,199,442,93,2777,1012,72.53,42,far
LinkedIn,Video,Enough treat involve admit house.,35:37.3,370,441,133,6532,784,120.41,62,president
LinkedIn,Video,Single before seven recent knowledge fly pull.,35:59.0,145,52,156,3516,1081,32.65,37,relate
Twitter,Image,About pass use understand expert investment.,20:13.2,812,434,72,5258,3107,42.42,27,toward
Facebook,Video,Push serious movement evening.,02:37.3,916,229,85,5444,4896,25.12,38,eat
Twitter,Video,Official just others.,25:46.7,897,151,186,7205,2226,55.44,57,trade
Twitter,Image,Senior will five know beat born.,29:11.6,0,33,62,9603,786,12.09,59,southern
Twitter,Link,Employee rest agreement contain particularly.,08:39.1,446,88,73,7326,4778,12.7,37,because
LinkedIn,Link,Ask method true such risk whatever bit foreign.,37:44.7,380,23,81,6916,3988,12.14,44,decade
Instagram,Reels,Less concern while anything election success.,40:05.3,769,373,30,5206,578,202.77,54,boy
Facebook,Image,Office station century before foreign your.,38:52.4,302,72,106,6733,980,48.98,65,happy
Instagram,Reels,Experience direction production later attorney.,54:58.1,585,459,54,3585,4951,22.18,42,far
Facebook,Image,Ability trial impact young technology.,52:13.3,528,463,86,1418,1828,58.92,19,hotel
Instagram,Video,Notice new cultural myself.,59:42.5,86,219,25,8584,2601,12.69,26,lose
Twitter,Image,Son year good suffer action new.,35:59.5,997,72,9,7344,1064,101.32,28,air
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
